BubbleSort;QuickSort;InsertionSort;ShellSort;Misto;std::sort
91940;32600;18958;16892;10126;9311
92266;32405;18878;16959;10102;9567
92256;29434;18380;15847;9676;8754
92651;29669;18238;15855;9794;8944
103264;39238;18175;15675;9533;8835
104881;37558;18413;15731;9669;8958
90591;31224;18678;16249;9829;9696
90668;31530;18569;16255;9824;9879
102640;32191;20221;17601;10213;9589
102058;32389;20258;17673;10172;9548
95616;29312;18675;18244;9807;9089
96978;29136;18831;18366;9732;9139
100149;38810;20483;17186;10279;10181
100539;32817;20759;17352;10266;10351
98142;31263;21697;17839;10998;10066
98804;31385;21572;17953;11055;10196
96566;30761;20776;17346;10378;10214
97367;31269;21049;17556;10380;10400
100377;31852;20849;17505;10504;10429
100819;31425;21258;18414;10382;10606
106650;33547;21423;16700;10194;9637
107178;33900;21470;16630;10313;9746
101301;39309;21212;18195;10955;9672
101833;34696;21863;17799;11220;9922
101049;31192;21643;27379;11576;10141
101880;31512;21828;25898;11646;10231
106001;31466;21188;17530;10912;9840
106170;31351;21252;17536;11085;9806
107224;32742;21480;17838;10997;9452
107667;32934;21587;17870;11163;9532
110074;31512;22225;17534;10935;10345
110590;31888;22335;17645;11060;10522
107435;32106;22544;20698;12029;10577
107613;31908;22632;20644;12045;10733
115543;32960;23305;21153;10847;9806
116186;33136;23562;20994;10959;9851
130943;45222;40218;21917;12298;11234
134974;55063;32230;21397;11999;11349
161714;46763;30624;23157;13257;12231
161200;54693;28688;23603;13274;12595
128097;33523;22612;18988;11362;10411
125689;33789;22818;19046;11347;10469
113641;32629;23577;19180;11518;10475
113942;32610;23649;19194;11538;10534
116586;33638;25293;18830;11340;10300
117189;33913;25233;19194;11161;10397
118520;34050;26373;19552;11626;11107
119398;34388;26159;19588;11611;11090
113668;37175;23738;19306;11596;10675
114771;37151;23945;19400;11635;10804
116078;34939;23497;19278;11705;10578
116422;34891;23729;19400;11799;10569
115556;34323;24379;19167;11755;10997
116169;34468;24499;19153;11811;11242
121609;36611;24475;19399;12119;10674
122092;36902;24549;19360;12211;10744
116160;35874;25373;19740;12440;10733
117117;35908;25732;19715;12504;10851
123207;44137;24338;20343;12288;11492
123960;37610;24437;20088;12211;11486
127690;37394;27771;18731;12924;10591
128699;37697;27993;18843;12859;10751
122697;37458;27633;20682;12805;11231
123070;37722;27841;20742;12799;11366
120892;35018;26858;20441;12384;11143
122183;34936;27048;20682;12443;11259
122010;35018;24830;19575;13156;10586
122290;35742;24837;19544;13021;10691
124924;38661;26259;21054;15337;11588
125100;38487;26336;20948;15396;11727
125857;39313;26048;19837;13306;11385
126224;39575;26100;19815;13275;11459
137671;36633;27363;20069;14319;11416
138570;36549;27471;20306;14119;11466
127922;37935;27067;20321;14090;12299
128438;38123;27010;20364;14507;12223
129999;36373;27887;20218;12726;11746
130775;36764;28062;20269;12797;12057
132990;44560;26126;19684;12475;11075
132602;37545;26380;19381;12622;11196
135440;38849;28813;24404;13571;11760
136123;38711;28958;24502;13681;11775
124470;38539;27351;19675;13750;11485
124698;38577;27411;19861;13731;11540
139313;49493;29162;21712;13997;11743
139835;40506;30152;21604;13903;12324
127926;41081;27546;28516;16104;12393
127800;40669;27437;29456;16074;12366
140698;37286;29363;21876;14135;11780
141756;37613;29499;22042;14365;11873
142804;37705;30154;21187;13063;12340
144462;38746;29818;21187;13191;12459
140113;37451;29960;21649;13586;11766
141518;38667;29796;21519;13792;11932
146246;41130;28786;21338;15605;12421
146820;41474;28946;21458;15878;12444
138814;40445;30023;22976;13992;12330
139494;40847;30143;23033;13955;12414
138527;39305;28542;22265;14724;11661
139032;39258;28664;22374;14769;11720
136707;38796;29288;21976;14705;11935
137432;38964;29683;22330;14863;11873
139927;39537;29058;21741;15128;12137
140827;39543;29091;21994;15026;12095
153806;41348;31190;22619;15088;12314
154211;41325;31333;22718;15083;12500
142147;39058;29766;21488;14778;12048
142670;39379;29887;21520;14887;12082
148790;41156;32569;23843;14641;12410
149891;41836;32968;23421;14903;12450
147918;43881;30182;21866;14960;12468
148466;43578;30140;21864;15000;12527
173938;39879;30883;22180;14648;12100
174974;40000;31061;22427;14771;12084
147949;39302;30897;22325;15462;12410
149035;39719;30947;22825;15528;12245
146660;40479;33696;23336;16276;12366
146557;40285;33721;23316;16272;12399
154758;41706;33736;22079;15960;14440
154562;41972;33662;22096;16150;16346
152052;42860;33314;22882;15730;12763
152380;42052;33414;22932;15704;12646
160540;41749;31473;21793;16107;13382
161614;41762;31639;22059;17079;13462
156993;40896;33745;23209;14712;13223
157242;40737;33906;23225;14724;13167
156259;43212;31913;22437;15478;13070
156655;42806;32017;22477;15583;13092
165047;44428;34770;25395;16061;13105
165723;43933;34792;25292;16115;13254
166849;46496;34473;23990;18686;13098
167264;46579;34223;24233;18155;13212
166738;43180;35579;24948;16494;13226
167247;43327;35655;24921;16473;13189
165035;42240;33012;22433;15915;12791
165552;42415;33127;22455;15934;12808
168620;43750;36752;24829;16674;15009
169112;43966;36911;24885;16730;15220
156650;43119;33684;22663;16734;13997
156747;42995;33776;22631;16815;14041
170812;46807;43385;45748;30090;20233
171432;46626;41987;46074;29698;19987
170473;43286;34308;24220;16875;13530
169151;43404;34309;24677;16917;13532
172799;43767;38660;25272;16836;13752
173279;43416;38925;25381;16690;13803
176202;42183;34287;23028;16153;13667
175809;43277;34413;23154;16432;13721
176508;45458;35971;25540;17371;13987
177062;45188;36130;25671;17461;13976
170686;45740;37680;24060;16471;15041
171059;46185;37603;24048;16522;14975
179522;43763;37876;24951;17753;14542
180423;45161;38061;25072;17978;14649
178308;46204;36849;24140;17258;13735
179491;45715;37732;24181;17455;13766
181243;43702;39084;25538;15691;15117
182989;44259;39359;25639;16024;15524
182427;54135;38639;24554;17521;14331
184137;54399;38470;24656;17448;14305
182456;44447;39702;28399;16393;14208
181979;44020;39876;28472;16258;14174
177179;46301;37413;28925;16978;14603
178264;46440;37512;29073;17186;14741
180165;52118;40500;27897;16632;15311
180200;52193;40707;27995;16978;15217
181476;64016;38178;27416;16988;14959
182690;51077;38805;26583;17272;15583
188775;51116;39032;25840;17142;13794
189060;50915;39009;26103;17088;13846
179864;47218;38939;25498;17075;14200
180557;46606;39217;25470;17099;14280
195037;45295;41095;27196;17845;14723
195066;45237;41227;27521;17648;14763
189021;50121;39861;26429;17881;15046
191325;49853;39952;26607;17852;15216
196306;47213;43126;26748;17552;14322
195829;47256;43037;26639;17579;14285
189982;48427;41973;26752;18330;16154
190705;48583;42042;26880;18533;16181
196644;48360;42427;26664;16912;15148
197017;47830;42530;26686;17000;15210
191893;50104;41063;26431;18242;15013
193720;50201;41123;26639;18295;14811
195649;51012;40334;26701;18762;15158
195446;50974;40230;26747;18741;15059
203150;52264;40955;26152;18644;16678
205777;61393;39742;27029;19867;15139
198481;49611;42669;27523;18168;16704
198636;49534;42693;27518;18354;16694
199862;50083;41470;28037;20537;14713
203922;50464;41230;29179;19203;14509
208549;53007;44070;27609;18730;15470
209538;52999;44132;27865;18826;15533
191631;53716;43102;29567;18879;16625
192820;53946;43540;29967;19132;16531
203571;48648;54607;30126;18715;14560
203843;48735;54180;30130;18731;14649
206166;50009;42198;26584;18477;15464
207011;49975;42203;26583;18627;15307
214273;51955;43219;28590;20589;16290
214889;52676;43197;28729;20611;16236
212148;50650;44251;27192;18390;16043
211738;51290;44472;27081;18563;16080
216561;62967;45974;29871;18574;15047
217650;63576;46167;30294;18395;15225
208518;50898;44369;26639;19048;14887
208837;51308;44501;26639;19107;15048
225541;49910;47952;29753;19615;16556
226192;50712;48275;29844;19707;16860
212219;51434;45905;29458;18908;15977
212080;51651;46114;29498;19005;15873
218998;53614;47485;29564;19722;16171
221951;54291;47865;29490;19642;16380
209129;53244;44842;27035;19056;16459
209466;53222;45017;27132;19067;16510
219878;50809;48363;29224;18304;16143
220176;50842;48433;29193;18333;16186
231268;52906;45876;32987;22103;15582
231345;53080;45840;33030;21940;15682
221858;57437;49697;30222;20490;16185
222193;57500;49850;30254;20664;16257
216428;55811;46752;28531;21353;16747
217403;56611;46872;28582;21285;16634
241601;54075;48569;32032;20833;15861
241679;54187;48629;31966;20932;15803
216066;53133;49565;29348;19572;15626
217475;53481;49453;29559;19772;15569
229618;52663;50396;30145;18857;16639
229908;52703;50494;30117;18822;16682
220641;54249;47457;29347;21177;15783
220973;54508;47517;29429;21238;15768
216225;53644;47718;28553;20270;16646
217161;54450;47848;29024;20457;16355
224494;55116;48063;28700;20421;17304
224334;55273;48130;28635;20629;17278
226923;55472;51578;31032;20357;17008
227222;55941;51680;31066;20293;16997
228104;57102;50224;30326;21407;16714
228391;57431;50329;30295;21357;16744
240256;54008;52467;30953;19196;17401
239846;54151;52515;30916;19178;17330
239853;57121;48426;29911;20845;16347
240768;57998;48551;30070;21020;16338
238713;52395;52887;30530;20421;18447
238526;53150;52979;30541;19981;18508
249468;68205;51603;35939;24306;17330
250661;57519;52049;32046;27380;18509
247236;58438;53939;32335;20015;18030
247298;59139;54128;32249;20275;18158
239763;56102;51317;31049;21853;16309
241826;56022;51553;31172;22099;16295
253990;55421;54927;31232;20848;16731
254730;55041;55158;31054;20789;16826
232493;56387;52159;29103;21508;17902
233227;56842;52012;29177;21695;17750
257940;56692;56320;33853;20235;18438
259042;57591;55815;33907;20341;18367
236270;56145;51512;30221;21564;16611
236873;56412;51583;30224;21712;16605
258576;55093;57508;33180;21627;17611
259727;55190;57364;33237;21547;17855
249800;59923;52132;29779;21646;16788
251251;58718;52177;29767;21635;16836
256054;59332;56399;33555;22200;17451
257140;60386;56779;33520;22235;17927
242302;60295;60919;30349;21180;17040
243028;60553;56962;30482;21170;16829
260090;60722;58569;33697;23250;17787
259661;60910;58826;33881;23351;18013
251879;62437;57543;33073;22646;18107
252517;62547;57150;33160;22757;18099
263104;71386;57938;33402;20951;18277
264065;61022;59219;33769;20973;18627
261139;57871;56253;34078;21085;16927
261184;58746;56247;34173;21113;16891
265712;60709;58613;33445;22790;18000
266457;60888;58193;33499;22871;17868
254958;58218;55096;33239;22711;17139
254978;57919;55300;33329;22612;17166
280543;58670;60446;34046;22587;19675
281294;59206;60572;33919;22841;19780
266083;58800;55216;33962;24751;18181
265951;58847;55147;35031;25006;18080
279961;77938;60752;32738;21038;17599
280346;67718;62088;32435;21437;17926
265155;60971;59749;33417;23267;18049
265913;71827;60373;32350;22884;17435
263569;60287;57943;34658;22738;17828
264634;60855;57684;34812;22895;17685
273483;58513;63966;37306;22671;18595
273691;58962;63709;37319;22614;18776
279435;62046;62764;36365;22769;19313
279397;62508;62781;36485;22733;19428
282605;61892;61379;34980;23950;18440
283681;62268;61468;35496;23751;18372
291420;65992;63063;36789;24718;18791
290824;66640;62919;36855;24874;18943
302112;70309;76032;39408;25149;21561
307927;72110;75368;39657;25306;21268
306895;68264;73571;37584;23691;20000
306917;68363;73896;38045;23606;20227
293740;62769;60677;35331;24834;20808
299138;63393;60895;36116;24291;20487
302195;62987;62493;35500;23688;18624
302037;63114;62615;35471;23458;18703
275585;61311;61479;36191;24794;20061
277051;62066;61532;36203;24859;19703
305021;64997;64850;36917;24442;19428
303610;65803;64936;36724;24434;19271
290856;64535;62312;37060;25402;19539
292063;64666;62355;37250;25705;19420
304804;60066;65472;39908;23432;18731
304540;60465;65543;39233;23303;18673
340974;80588;92200;50997;29082;23431
344843;82200;95108;50672;28818;22452
347146;63366;60679;37374;24862;22719
346939;63889;60868;37362;24875;22565
305685;65835;64704;38396;25009;21747
307365;66371;64558;38992;24738;21614
306877;64165;68089;39823;24225;19533
307380;64487;68191;39972;24089;19629
290792;75990;61967;35824;23832;20033
290371;65134;62619;35071;23765;20047
317993;64202;67699;36987;24762;19772
318793;64392;67748;37126;24588;19723
303622;64701;71374;35533;23901;19406
303991;64757;67695;35566;23473;19842
304988;64269;63984;35812;23574;19892
306515;64519;64474;35914;23608;19984
298512;64839;64224;38282;23812;19478
293921;64797;64299;37443;24316;19585
310403;67542;68898;38650;24394;21271
310667;78395;69396;38463;24248;21640
320166;62169;64547;35823;25325;19162
316744;62238;65363;35907;25449;19246
311755;62344;69975;38172;23969;20023
310706;63318;69793;38097;24109;20107
306720;66243;73253;45326;25079;23071
309025;66352;73381;45281;25341;22559
316572;67594;71459;38716;25324;20215
316834;67093;71815;38559;25475;20309
313651;68350;66718;36172;30336;20035
314266;68464;66739;37190;29213;19969
331712;79541;68308;36309;24364;19376
332111;80622;68198;36365;24341;19392
310498;67119;68549;36493;25418;20249
312404;67732;68183;36880;25546;20210
329595;76855;70010;37515;26769;20066
328451;65243;70597;37227;25255;22055
328023;66987;71645;37056;29206;22896
328683;67536;71809;36881;30504;21726
341596;66736;74283;42981;26593;20166
341401;67223;74543;43096;26648;20234
324869;68918;68341;38470;25706;19869
324261;68410;68436;38297;25803;19858
334220;71802;74962;39339;24707;22394
333702;71959;74899;39382;24838;22512
317633;67104;69746;36943;27518;20436
318146;68510;69835;36947;27334;20372
337805;71737;142175;37742;23971;20801
338914;73769;143098;36934;24293;20838
339704;64552;76226;38622;24310;21559
339449;64839;76256;38641;24603;21601
347702;69012;75753;39662;26821;21961
348579;69061;75994;39718;26929;22058
345231;67785;72058;38707;26150;22037
346520;68652;72156;38870;26759;21774
351184;67945;74068;50333;34529;26592
352181;69104;74297;51040;34162;27434
440889;77518;88448;46350;33739;27331
442942;76790;88542;46293;35146;25979
366514;73383;79129;41719;26992;23319
367498;73815;79883;41592;27291;23252
325578;69398;79562;41557;27375;22062
325333;69308;79980;41469;27704;22113
348400;71753;77797;39962;25824;21531
348851;72437;77786;39856;25918;21602
395952;98573;93733;42452;28311;20343
399911;97863;92999;42528;28376;20362
351145;69496;78610;45338;27544;22122
349939;68824;78393;44762;28042;21696
339716;70409;76730;39250;25828;20783
334289;70627;76632;39390;26016;20647
358645;77104;75991;39768;27709;22186
361278;79100;75626;40365;27856;21868
358731;70248;81403;40224;25289;21450
354736;70085;81428;40440;25484;21546
366853;70067;81574;49006;30387;21461
368120;69851;81410;49218;29958;21459
369037;70312;82370;40929;28362;22130
369898;70037;82556;41069;28416;22245
369110;68996;85031;40012;27511;21805
370643;69701;85022;40246;27560;21643
341586;77543;77407;40371;25310;22227
342007;78335;78041;40308;25621;22306
387995;74065;82279;41760;27379;22004
388642;74334;82945;41244;27555;22214
348739;69470;78920;39399;27143;21115
349625;70282;79162;39714;27468;21701
368438;73056;84293;42674;28492;22447
367599;73644;84724;42643;28630;22468
354246;72788;80523;39748;26602;21539
354973;86628;77866;40076;26642;21761
379234;75021;77719;39749;29768;23083
373585;77895;78385;39888;29766;23481
391531;72964;78361;39342;29073;22315
392330;73656;78044;39186;29000;22423
386658;73387;84683;39911;27041;21257
388064;73531;84674;40311;27303;21257
355740;76623;84892;41823;29320;24578
356122;76231;84879;41955;29496;24737
387834;70319;87515;42426;28700;22580
388775;70670;87773;42467;28839;22814
372587;74639;80558;41276;27621;22724
373134;75499;80491;41458;28007;22520
400536;76115;89201;49812;27831;23735
401915;89818;89191;50085;27676;22907
365406;74090;81119;46332;29644;21496
365905;73992;81216;46426;29804;21499
406198;75980;94661;46268;28657;23584
408955;77121;93058;46183;29237;23715
392371;89275;129976;52707;29255;23460
392222;89918;128165;52926;29314;23455
455159;80930;105845;59937;32065;29168
456201;81104;106247;60118;31741;29230
475479;79063;99401;52259;29555;29629
479370;80230;100676;51006;30216;29835
467009;71834;94407;48541;29480;27250
463375;70951;94134;47638;28810;27451
420619;78129;93686;48202;29253;25318
